EMAPA:17971,Urogenital,mesorchium
EMAPA:17961,Urogenital,mesovarium
EMAPA:17208,Urogenital,metanephric mesenchyme
EMAPA:17375,Urogenital,metanephric mesenchyme
EMAPA:29990,Urogenital,metanephric mesenchyme
EMAPA:17207,Urogenital,metanephros
EMAPA:17373,Urogenital,metanephros
EMAPA:35457,Urogenital,metanephros epithelium
EMAPA:35458,Urogenital,metanephros glomerular epithelium
EMAPA:35969,Urogenital,metanephros parietal epithelium
EMAPA:35970,Urogenital,metanephros visceral epithelium
EMAPA:18678,Urogenital,minor calyx
EMAPA:25765,Urogenital,mouse
EMAPA:18328,Urogenital,Mullerian tubercle
EMAPA:30785,Urogenital,mural of mature follicle
