ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:27829,Renal,"renal vesicle"
EMAPA:27678,Renal,"renal vesicle"
EMAPA:31404,Renal,"resident macrophage of the inner medulla"
EMAPA:31389,Renal,"resident macrophage of the outer medulla"
EMAPA:31367,Renal,"resident macrophage of the perihilar interstitium"
EMAPA:31273,Renal,"resident macrophages"
EMAPA:31296,Renal,"resident macrophages of the cortex"
EMAPA:31333,Renal,"resident macrophages of the medulla"
EMAPA:28272,Renal,"rest of afferent arteriole"
EMAPA:30565,Renal,"rest of cranial mesonephric tubule"
EMAPA:31409,Renal,"rest of inner medullary interstitium"
EMAPA:31418,Renal,"rest of medullary renal tubule"
EMAPA:29609,Renal,"rest of mesentery"
EMAPA:31394,Renal,"rest of outer medullary interstitium"
EMAPA:31373,Renal,"rest of perihilar interstitium"
EMAPA:31304,Renal,"rest of renal cortical interstitium"
EMAPA:31276,Renal,"rest of renal interstitium"
EMAPA:31340,Renal,"rest of renal medullary interstitium"
EMAPA:30879,Renal,"rest of urogenital sinus"
EMAPA:27617,Renal,"rostral parametanephric mesenchyme"
EMAPA:27756,Renal,"s-shaped body"
EMAPA:27853,Renal,"s-shaped body"
EMAPA:29657,Renal,"segment 1 of proximal tubule"
EMAPA:29659,Renal,"segment 2 of proximal tubule"
EMAPA:28661,Renal,"serosa of bladder"
EMAPA:28667,Renal,"serosa of fundus"
EMAPA:30130,Renal,"serosa of neck"
EMAPA:28673,Renal,"serosa of trigone"
EMAPA:32278,Renal,"smooth muscle layer of prostatic urethra"
EMAPA:30003,Renal,"smooth muscle layer of renal artery"
EMAPA:30019,Renal,"smooth muscle layer of renal vein"
EMAPA:28445,Renal,"stage IV immature nephron"
EMAPA:31017,Renal,"straight limb of immature loop of Henle"
EMAPA:32269,Renal,"striated muscle layer of prostatic urethra"
EMAPA:32275,Renal,"submucosa of bladder"
EMAPA:32313,Renal,"submucosa of dorsal pelvic urethra of female"
EMAPA:32293,Renal,"submucosa of dorsal pelvic urethra of male"
EMAPA:32277,Renal,"submucosa of fundus"
EMAPA:32276,Renal,"submucosa of neck"
EMAPA:32301,Renal,"submucosa of prostatic urethra"
