ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:29828,"Whole mouse","basal epithelium of lateral prostate"
EMAPA:29842,"Whole mouse","basal epithelium of ventral prostate"
EMAPA:35164,"Whole mouse","basal forebrain"
EMAPA:32673,"Whole mouse","basal ganglia"
EMAPA:35165,"Whole mouse","basal ventral medial thalamic nucleus"
EMAPA:17307,"Whole mouse","basilar artery"
EMAPA:35166,"Whole mouse","basilar membrane"
EMAPA:18705,"Whole mouse","basioccipital bone"
EMAPA:18337,"Whole mouse","basioccipital cartilage condensation"
EMAPA:18012,"Whole mouse","basioccipital pre-cartilage condensation"
EMAPA:18706,"Whole mouse","basisphenoid bone"
EMAPA:18338,"Whole mouse","basisphenoid cartilage condensation"
EMAPA:18013,"Whole mouse","basisphenoid pre-cartilage condensation"
EMAPA:35167,"Whole mouse","basolateral amygdaloid nucleus"
EMAPA:35168,"Whole mouse","basomedial amygdaloid nucleus"
EMAPA:35169,"Whole mouse","bed nucleus of stria terminalis"
EMAPA:31021,"Whole mouse","bend of immature loop of Henle"
EMAPA:28358,"Whole mouse","bend of loop of Henle inner medullary portion"
EMAPA:19108,"Whole mouse","biceps brachii"
EMAPA:19067,"Whole mouse","biceps brachii"
EMAPA:35170,"Whole mouse","biceps femoris"
EMAPA:35171,"Whole mouse","bile duct"
EMAPA:16561,"Whole mouse","biliary bud"
EMAPA:16562,"Whole mouse","biliary bud extrahepatic part"
EMAPA:16563,"Whole mouse","biliary bud intrahepatic part"
EMAPA:35172,"Whole mouse","biliary tract"
EMAPA:18321,"Whole mouse",bladder
EMAPA:35173,"Whole mouse","bladder fundus region"
EMAPA:35897,"Whole mouse","bladder mucosa"
EMAPA:35174,"Whole mouse","bladder trigone region"
EMAPA:35175,"Whole mouse","bladder wall"
EMAPA:25120,"Whole mouse","blade or scapula"
EMAPA:16044,"Whole mouse","blastocoelic cavity"
EMAPA:16332,"Whole mouse",blood
EMAPA:16268,"Whole mouse","blood island"
EMAPA:16115,"Whole mouse","blood island"
EMAPA:32743,"Whole mouse","blood vessel"
EMAPA:35176,"Whole mouse","blood vessel endothelium"
EMAPA:35177,"Whole mouse","blood vessel smooth muscle"
EMAPA:35178,"Whole mouse","body fluid or substance"
EMAPA:18817,"Whole mouse","body of pancreas"
EMAPA:17504,"Whole mouse","body of pancreas"
EMAPA:35810,"Whole mouse","body of stomach"
EMAPA:32761,"Whole mouse","body wall"
EMAPA:16893,"Whole mouse","body-wall mesenchyme"
EMAPA:32782,"Whole mouse",bone
EMAPA:32760,"Whole mouse","bone marrow"
EMAPA:35179,"Whole mouse","bone tissue"
